Step,Training Loss,Validation Loss,Roberta Model Accuracy
250,1.051600,0.748830,0.713143
500,0.733400,0.666042,0.713143
750,0.583900,0.598088,0.771429
1000,0.480000,0.729835,0.761143
1250,0.438300,0.657302,0.794286
1500,0.365000,0.896505,0.793143
1750,0.358900,0.882012,0.772571
2000,0.248500,1.008656,0.780571
2250,0.198000,1.073585,0.785143
2500,0.185000,1.060534,0.790857
2750,0.156500,1.088672,0.793143
3000,0.107700,1.085265,0.794286
3250,0.082500,1.174825,0.792000
3500,0.117700,1.154295,0.805714
3750,0.080600,1.196566,0.803429
4000,0.051400,1.151041,0.828000
4250,0.054600,1.217318,0.809143
